index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
3871,2,2,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,2,2
700,2,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,1,1,5,2,1,1
3966,2,3,0,1,6,2,1,0,3,1,3,0,0,7,7,0,2,1,1,0,0,0
529,4,3,0,1,6,0,0,0,11,0,6,3,3,4,4,0,1,1,5,2,1,1
5843,2,0,9,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,5,3
3533,3,0,0,0,6,2,0,0,7,1,0,3,3,7,3,0,2,1,5,0,4,6
1379,0,0,3,1,6,2,1,0,7,0,6,2,3,7,7,0,2,2,5,7,2,0
3947,3,2,0,0,6,2,0,0,7,1,0,3,3,5,5,0,2,1,5,1,4,6
1726,3,3,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,5,1,3,0
5914,3,2,7,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,0,5,6
6528,2,0,8,0,0,2,1,1,7,1,0,3,3,7,7,0,2,1,5,1,4,6
4732,3,3,3,1,6,2,1,0,3,1,3,3,3,7,7,0,2,1,1,0,0,0
2662,2,2,0,0,6,2,0,0,1,1,0,3,3,3,3,0,2,1,5,1,4,6
950,2,2,7,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3
3355,2,3,8,1,6,2,1,0,0,1,3,0,0,7,7,0,2,1,1,0,0,0
7500,2,2,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,5,0,2,2
6377,2,0,0,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,1,5,6
6484,2,3,7,1,4,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,3
136,3,0,9,1,4,2,0,0,7,0,0,2,2,0,0,0,2,1,3,3,4,6
2557,3,2,0,1,8,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,1
7054,0,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,0
7450,3,2,9,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,5,3
1578,4,3,7,1,8,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,6
5503,3,0,3,1,4,2,0,0,4,0,0,2,2,0,5,0,2,1,3,3,5,6
2132,3,0,0,0,6,2,0,0,8,1,0,3,3,7,7,0,2,1,5,1,4,6
2223,0,3,0,1,6,0,0,0,1,0,6,3,3,4,4,0,0,1,5,2,4,1
4816,3,2,7,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,0,5,6
7060,2,3,0,1,6,0,0,0,11,0,6,3,3,4,4,0,1,1,5,8,4,1
7764,2,3,1,0,4,2,0,0,10,1,0,3,0,7,7,0,2,1,5,3,4,0
5623,2,0,3,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,1,4,6
4332,3,0,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,1,0,0
3849,3,3,7,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3
1629,2,2,0,1,4,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,6
7686,2,3,3,1,6,2,1,0,7,1,3,0,0,7,7,0,2,1,1,0,0,0
1573,2,0,0,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,3,0
3832,2,2,7,0,6,2,0,0,7,1,0,3,3,7,7,0,2,1,5,0,4,6
5618,2,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,0,1,5,5,4,1
4518,2,0,3,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,0,5,6
6800,3,0,8,1,6,2,1,0,0,1,3,3,0,7,7,0,2,1,1,0,0,0
607,2,0,9,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,4,3
6917,2,3,5,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5
7539,4,2,7,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1
5085,4,0,3,1,6,2,1,0,4,0,6,2,3,7,7,0,2,2,5,7,2,0
5343,2,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2
5956,4,3,0,1,4,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,1
1714,2,2,4,1,6,2,0,1,8,0,6,3,0,7,7,0,2,1,2,3,5,6
4754,3,0,9,1,4,2,0,0,7,0,0,2,2,5,1,0,2,1,3,3,4,0
5229,0,2,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,2,0
7823,3,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,1,4,6
775,2,3,7,1,4,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,3
2745,2,0,3,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,5,4
6419,4,3,0,1,6,0,0,0,11,0,6,3,3,4,4,0,1,1,5,8,1,1
7586,3,3,0,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1
1170,3,2,9,1,4,2,0,0,7,0,0,2,2,1,1,0,2,1,3,3,5,3
4502,4,2,0,1,8,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,1
5111,3,3,0,1,6,2,1,0,0,1,3,0,0,7,7,0,2,1,1,0,3,0
1392,4,3,0,1,8,2,0,1,2,1,6,2,3,7,7,0,2,1,1,7,4,1
4309,0,2,1,0,6,2,0,0,10,0,0,3,3,7,7,0,2,2,5,4,4,0
1125,2,0,9,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,3
5825,3,0,9,1,4,2,0,0,3,0,0,2,2,0,1,0,2,1,3,3,5,6
432,2,0,0,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,5,6
130,2,3,8,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,5,6,4,6
12,3,3,8,0,4,2,0,0,3,1,0,3,0,7,7,0,2,1,5,3,4,4
5823,3,3,0,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,4,4
3294,3,2,3,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,5,0
2302,2,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,1,4,6
6105,4,3,7,1,3,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1
1569,4,2,0,1,4,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
3408,4,2,0,1,3,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,3
5715,2,3,1,0,4,2,0,0,7,1,0,3,3,7,7,0,2,1,5,3,4,0
3377,3,0,9,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,5,6,4,6
6016,3,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,3,0
4280,2,0,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,4,3
1393,0,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,0
7448,4,3,0,1,8,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,3
2955,0,2,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,5,0,3,2
7196,3,3,7,1,3,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,6
3279,3,2,0,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,1,5,6
7172,0,2,8,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,5,1,3,0
3414,2,3,0,1,4,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1
6791,4,3,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6
2494,3,0,0,0,6,2,0,0,8,1,0,3,3,7,3,0,2,1,5,0,5,6
5750,2,0,3,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,0,5,6
5884,3,2,0,1,3,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,6
1525,4,3,5,0,6,2,0,0,10,0,6,3,3,6,7,0,2,2,1,7,1,5
2378,2,3,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,3,0
6097,2,3,3,0,4,2,0,0,7,1,0,3,0,7,7,0,2,1,5,3,4,4
2486,2,2,8,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,3,4
4468,3,0,3,0,6,2,0,0,10,1,0,3,3,5,5,0,2,1,5,1,5,6
8093,3,2,9,1,4,2,0,0,3,0,0,2,2,0,1,0,2,1,3,3,5,6
6824,2,2,8,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,2,0
5256,3,2,9,1,4,2,0,0,4,0,0,2,2,0,5,0,2,1,3,3,5,3
7973,2,0,0,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,4,6
814,3,2,7,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,1,4,6
1711,2,3,0,1,4,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,6
7222,2,3,7,1,3,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,1
7077,0,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,3,2
3995,2,3,0,1,3,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,3
5978,3,2,9,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,5,6
1139,3,0,3,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,1,5,6
3098,0,0,3,1,6,2,1,0,10,0,6,3,2,7,7,0,2,2,5,7,3,0
3262,3,3,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,3
6282,3,0,3,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,1,0,0
5748,2,3,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,2,0
16,2,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0
7865,3,2,0,0,6,2,0,0,10,1,0,3,3,7,5,0,2,1,5,1,5,6
5215,0,2,5,0,6,2,0,0,4,0,0,3,3,7,7,0,2,2,5,4,4,2
3749,2,3,8,0,7,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,3,4
6121,3,3,0,1,4,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,1
3287,2,0,3,0,6,2,0,0,1,1,0,3,3,3,7,0,2,1,5,0,4,6
2425,2,2,5,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5
3495,3,0,0,1,6,2,1,0,1,1,3,0,3,7,7,0,2,1,1,1,3,0
7261,2,3,0,1,6,0,0,0,1,0,6,3,3,4,4,0,1,1,5,1,4,1
4325,2,2,7,0,6,2,0,0,10,1,0,3,3,3,3,0,2,1,5,0,5,6
3441,2,0,8,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,5,6,4,6
7914,2,2,3,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,6
5046,3,3,8,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,5,1,4,4
7041,2,3,3,1,2,2,0,1,1,0,0,3,3,7,7,0,2,1,5,0,4,6
2545,2,3,3,1,6,2,1,0,7,1,3,0,0,7,7,0,2,1,1,0,3,0
981,2,3,0,1,3,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,3
1817,3,2,7,0,6,2,0,0,1,1,0,3,3,3,3,0,2,1,5,1,5,6
1949,3,0,9,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,5,0
1220,2,2,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,5,6
1453,3,2,3,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,1,4,6
7229,2,3,7,1,3,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,1
727,2,2,7,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,0,5,6
5821,3,2,3,1,4,2,0,0,7,0,0,2,2,1,0,0,2,1,3,3,5,3
3811,3,3,8,0,4,2,0,0,7,1,0,3,0,7,7,0,2,1,5,3,4,0
5399,4,3,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3
6152,2,3,1,0,4,2,0,0,7,1,0,3,0,7,7,0,2,1,5,3,4,0
3615,2,0,7,0,6,2,0,0,8,1,0,3,3,7,7,0,2,1,5,1,5,6
6868,2,2,7,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,1,4,6
7953,2,2,0,0,6,2,0,0,1,1,0,3,3,5,5,0,2,1,5,1,4,6
1636,3,3,0,1,3,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6
1735,2,0,7,0,6,2,0,0,1,1,0,3,3,7,7,0,2,1,5,1,4,6
8108,3,2,7,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1
4071,4,3,7,0,6,2,0,0,10,0,6,3,3,7,7,0,2,2,1,7,1,5
354,2,3,7,1,3,2,0,1,2,1,6,2,3,7,7,0,2,1,1,7,4,1
3076,3,2,5,0,6,2,0,0,10,0,6,3,3,7,6,0,2,2,1,7,1,5
615,3,0,7,0,6,2,0,0,7,1,0,3,3,5,5,0,2,1,5,1,5,6
5670,0,3,8,1,6,2,1,0,7,0,6,3,3,7,7,0,2,2,5,7,3,0
2658,4,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,1,1,5,5,1,1
7726,3,0,7,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,5,6
4623,3,2,3,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,0,5,6
7239,2,3,7,1,8,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,3
5022,3,0,9,0,0,2,1,1,7,1,0,3,3,7,7,0,2,1,5,1,4,6
8051,3,2,3,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,0,5,6
6399,2,3,1,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5
7946,3,0,0,0,6,2,0,0,7,1,0,3,3,7,5,0,2,1,5,0,5,6
7921,3,2,0,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,4,6
7319,2,2,8,0,7,2,0,1,7,0,3,3,3,7,7,0,2,1,5,0,4,0
6828,4,3,7,0,6,2,0,0,10,0,6,3,3,6,7,0,2,2,1,7,1,5
5088,3,3,8,0,4,2,0,0,3,1,0,3,3,7,7,0,2,1,5,3,4,4
2185,4,2,0,1,3,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,6
6440,3,3,8,0,4,2,0,0,7,1,0,0,0,7,7,0,2,1,5,3,3,0
571,3,2,9,1,4,2,0,0,3,0,0,2,2,1,1,0,2,1,3,3,5,6
6930,3,0,3,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,4,6
7807,2,3,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,0
1418,0,3,0,1,6,0,0,0,11,0,6,3,3,4,4,0,1,1,5,5,1,1
5128,2,3,0,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3
5697,2,2,7,0,6,2,0,0,10,0,6,3,3,6,7,0,2,2,1,7,1,5
2890,4,2,0,1,3,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,1
835,2,0,7,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,0,4,6
301,2,3,8,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,4,0
4216,3,3,3,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,1,0,0
4845,3,0,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,0
2887,2,0,8,1,6,2,1,0,0,1,3,3,0,7,7,0,2,1,1,0,3,0
3794,4,3,7,1,8,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,6
39,3,2,0,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3
6414,2,2,7,1,8,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
891,2,2,3,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,3
7215,2,0,9,1,4,2,0,0,7,0,0,2,2,0,0,0,2,1,3,3,4,6
3253,4,3,0,1,6,0,0,0,1,0,6,3,3,4,4,0,0,1,5,1,1,1
2978,3,0,9,1,4,2,0,0,3,0,0,2,2,0,5,0,2,1,3,3,5,0
4602,2,3,7,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,6
4759,2,2,9,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,5,0,2,0
709,2,0,0,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,5,6
5784,4,3,0,1,6,0,0,0,1,0,6,3,3,4,4,0,0,1,5,8,4,1
3385,3,2,7,1,8,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,3
4276,2,2,3,0,6,2,0,0,7,1,0,3,3,7,5,0,2,1,5,1,5,6
559,3,3,1,0,4,2,0,0,10,1,0,3,3,7,7,0,2,1,5,3,3,4
4912,2,2,3,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,6
3302,2,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,3,2
6138,2,2,3,1,4,2,0,0,7,0,0,2,2,1,1,0,2,1,3,3,5,3
3393,3,2,9,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,1,5,0
6512,3,2,8,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,5,1,4,4
2471,3,2,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,5,0,3,0
55,4,3,8,1,6,2,1,0,10,0,6,3,2,7,7,0,2,2,5,7,2,0
3125,2,3,3,0,4,2,0,0,7,1,0,0,0,7,7,0,2,1,5,3,3,4
6912,3,0,8,1,6,2,1,0,7,1,3,3,3,7,7,0,2,1,1,0,0,0
4526,4,3,0,1,3,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,3
7604,3,2,3,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,0,4,6
7458,3,0,3,1,4,2,0,0,4,0,0,2,2,0,1,0,2,1,3,3,5,3
2502,3,2,0,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,6
63,2,0,3,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,5,6
6594,3,0,0,0,6,2,0,0,7,1,0,3,3,5,5,0,2,1,5,0,5,6
5729,3,3,0,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,3
7579,3,2,3,0,6,2,0,0,10,1,0,3,3,5,7,0,2,1,5,1,4,6
3506,2,0,7,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,0,4,6
5516,3,3,1,0,4,2,0,0,7,1,0,0,0,7,7,0,2,1,5,3,4,0
128,3,3,0,1,4,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,3
6958,3,3,7,1,3,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3
2781,4,2,0,1,3,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,6
3597,3,2,3,0,6,2,0,0,1,1,0,3,3,3,3,0,2,1,5,0,5,6
2723,0,2,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,0
4906,4,3,0,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1
5805,2,3,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,2,2
2010,2,0,7,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,0,4,6
1004,2,0,8,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,1,3,0
6753,3,0,7,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,0,4,6
6010,4,2,0,1,3,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,3
3685,2,0,0,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,1,4,6
850,2,3,1,0,6,2,0,0,10,0,6,3,3,6,7,0,2,2,1,7,1,5
7509,2,0,3,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,3
1627,2,2,0,0,6,2,0,0,10,1,0,3,3,5,7,0,2,1,5,0,5,6
4727,2,3,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,2,0
2188,2,3,3,1,2,2,1,1,1,0,0,3,3,7,7,0,2,1,5,0,3,6
7877,2,2,0,0,1,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,5,0
3654,2,0,3,0,6,2,0,0,7,1,0,3,3,7,7,0,2,1,5,0,4,6
4013,2,2,3,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,0,4,6
5184,3,0,0,1,6,2,1,0,3,1,3,0,0,7,7,0,2,1,1,1,0,0
7310,2,2,0,0,6,2,0,0,7,1,0,3,3,3,5,0,2,1,5,1,4,6
6723,1,2,9,1,6,2,1,1,10,0,1,1,1,8,8,0,3,1,1,7,1,1
7402,3,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,4,0
5731,2,2,0,0,7,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,3,4
7690,2,0,8,1,6,2,1,0,1,1,3,3,0,7,7,0,2,1,1,1,0,0
3646,0,3,8,0,6,2,0,0,5,0,0,3,3,7,7,0,2,2,5,4,4,0
2865,2,3,8,0,0,2,1,1,7,1,0,3,3,7,7,0,2,1,5,1,4,6
6060,2,3,3,0,4,2,0,0,10,1,0,3,3,7,7,0,2,1,5,3,4,4
7578,2,2,7,1,3,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,6
3154,3,3,3,1,6,2,1,0,0,1,3,0,0,7,7,0,2,1,1,1,3,0
6372,2,2,0,0,6,2,0,0,10,1,0,3,3,7,5,0,2,1,5,0,5,6
7761,3,2,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,1
2857,2,2,7,0,6,2,0,0,7,1,0,3,3,3,7,0,2,1,5,1,5,6
2422,2,3,0,1,4,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,6
3993,0,2,9,1,6,2,1,1,11,0,1,1,1,8,8,0,3,1,1,7,1,1
1531,2,2,3,1,4,2,0,0,3,0,0,2,2,1,0,0,2,1,3,3,4,3
2351,2,0,8,1,6,2,1,0,10,0,6,3,3,7,7,0,2,2,5,7,3,0
688,4,0,8,1,6,2,1,0,10,0,6,2,2,7,7,0,2,2,5,7,3,0
3762,2,3,5,1,2,2,1,1,8,0,0,3,3,7,7,0,2,1,5,1,3,6
5058,3,2,3,1,4,2,0,0,4,0,0,2,2,0,5,0,2,1,3,3,5,6
3888,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,3,3
1602,3,0,9,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,5,0
1497,2,2,0,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,1,5,6
4289,3,0,8,1,6,2,1,0,3,1,3,0,0,7,7,0,2,1,1,1,0,0
6619,2,0,0,0,6,2,0,0,7,1,0,3,3,7,3,0,2,1,5,0,4,6
6096,4,2,7,1,4,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,6
6904,3,0,9,1,4,2,0,0,7,0,0,2,2,0,1,0,2,1,3,3,5,6
7985,2,0,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,0
5736,2,3,8,1,6,2,1,0,1,1,3,3,3,7,7,0,2,1,1,1,3,0
3043,2,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,2
